#Frame           1-30
       1      97.7568
       2      99.2302
       3      98.0051
       4     100.4535
       5      92.8745
       6      97.7583
       7      97.4278
       8      95.6383
       9      99.8434
      10      98.0862
      11      99.7886
      12      95.2434
      13      99.1094
      14      97.7960
      15      98.5193
      16      96.7326
      17     101.9473
      18      95.2439
      19      95.9872
      20      96.5617
      21      98.8807
      22      98.7541
      23      98.9068
      24      95.3004
      25      94.4082
      26      97.9902
      27      98.2069
      28      97.7147
      29      95.4559
      30      97.8308
      31     101.0788
      32      96.8002
      33      94.2543
      34      97.9004
      35      95.2187
      36      94.0961
      37      96.0040
      38      94.0996
      39      96.2032
      40      92.3459
      41      88.5719
      42      85.8201
      43      87.8575
      44      90.5685
      45      91.3589
      46      87.8444
      47      87.3219
      48      88.3489
      49      90.0914
      50      81.6383
      51      84.5668
      52      89.1272
      53      90.9767
      54      86.8157
      55      87.9287
      56      87.7668
      57      86.8491
      58      87.3729
      59      84.9677
      60      80.5234
      61      90.7483
      62      86.2624
      63      94.2239
      64      95.6433
      65      92.8922
      66      96.0575
      67      95.0003
      68      99.5451
      69     101.0824
      70      97.1513
      71      93.1172
      72      97.3564
      73      99.6800
      74      96.0692
      75      93.2407
      76      95.1002
      77      99.1852
      78     100.2637
      79      96.8386
      80     103.3040
      81      91.5917
      82      93.4789
      83      97.5364
      84      93.8906
      85      95.9958
      86      95.8845
      87      97.6274
      88      98.9170
      89     100.9105
      90     104.1731
      91      97.1050
      92      99.6997
      93      97.2373
      94      96.9178
      95      96.2029
      96      95.7083
      97      97.5722
      98      95.1767
      99      98.1017
     100      97.8372
     101      98.4977
