#Frame           1-30
       1      97.7465
       2      99.2264
       3      98.0016
       4     100.4378
       5      92.8753
       6      97.7598
       7      97.4255
       8      95.6169
       9      99.8274
      10      98.5245
      11      99.8134
      12      95.1744
      13      98.8411
      14      97.4397
      15      98.7029
      16      97.3907
      17     101.3714
      18      95.8151
      19      95.8298
      20      96.7168
      21      99.1890
      22      99.4953
      23      98.1515
      24      95.0957
      25      93.5729
      26      97.7927
      27      99.2418
      28      97.1508
      29      95.5393
      30      97.6095
      31     101.0487
      32      96.6394
      33      94.1586
      34      98.6563
      35      95.4521
      36      93.5071
      37      95.0279
      38      93.9278
      39      94.7595
      40      90.5914
      41      88.1305
      42      88.6863
      43      87.2776
      44      89.8533
      45      91.0999
      46      87.7531
      47      87.1298
      48      88.4647
      49      90.1693
      50      81.7769
      51      84.5082
      52      89.4212
      53      91.3846
      54      85.7913
      55      87.6619
      56      85.7712
      57      86.9510
      58      87.2339
      59      85.8439
      60      79.8717
      61      92.1425
      62      86.3903
      63      92.5297
      64      95.5606
      65      93.2528
      66      96.2897
      67      94.6888
      68      99.4564
      69     100.8760
      70      96.1606
      71      93.9051
      72      97.6323
      73      99.7048
      74      96.0405
      75      93.7915
      76      95.3078
      77      99.0061
      78      99.9557
      79      96.6996
      80     102.4385
      81      92.0825
      82      93.3617
      83      97.1127
      84      94.2791
      85      96.6002
      86      95.5654
      87      97.5528
      88      99.2891
      89     100.5170
      90     103.8485
      91      97.4697
      92      99.7999
      93      96.9101
      94      96.7744
      95      96.6669
      96      96.4106
      97      97.3605
      98      95.4700
      99      97.3314
     100      98.5079
     101      98.1811
